frame1,frame2,image_diff,gt_diff,,,,,,
00054068.png,00054069.png,9.34368228912354,1.64012002944946,0.02,,,,,
00054069.png,00054070.png,7.59558486938477,1.39716672897339,0.24,,,,,
00054070.png,00054071.png,12.0306406021118,1.92664694786072,0.53,,,,,
00054071.png,00054072.png,8.12225532531738,1.36466097831726,0.56,,,,,
00054072.png,00054073.png,8.25436687469482,1.37889277935028,0.01,,,,,
00054073.png,00054074.png,7.33457326889038,1.57161366939545,0.19,,,,,
00054074.png,00054075.png,7.72735214233398,1.48609280586243,0.09,,,,,
00054075.png,00054076.png,11.7450904846191,2.11501836776733,0.63,,,,,
00054076.png,00054077.png,7.46839189529419,1.64057004451752,0.47,,,,,
00054077.png,00054078.png,7.15167427062988,1.6328409910202,0.01,,,,,
00054078.png,00054079.png,6.80950212478638,1.44574415683746,0.19,,,,,
00054079.png,00054080.png,10.6120119094849,1.89930987358093,0.45,,,,,
00054080.png,00054081.png,7.45881175994873,1.53645014762878,0.36,,,,,
00054081.png,00054082.png,7.69980525970459,1.66824650764465,0.13,,,,,
00054082.png,00054083.png,11.7100849151611,2.78478384017944,1.12,,,,,
00054083.png,00054084.png,7.65630197525024,2.13705682754517,0.65,,,,,
00054084.png,00054085.png,7.7894983291626,1.8808126449585,0.26,,,,,
00054085.png,00054086.png,7.8357515335083,2.00505495071411,0.12,,,,,
00054086.png,00054087.png,8.07327938079834,2.30087733268738,0.30,,,,,
00054087.png,00054088.png,12.9042825698853,2.80676555633545,0.51,,,,,
00054088.png,00054089.png,8.80088043212891,2.64849042892456,0.16,,,,,
00054089.png,00054090.png,8.96494197845459,2.58701062202454,0.06,,,,,
00054090.png,00054091.png,8.63536262512207,2.62776708602905,0.04,,,,,
00054091.png,00054092.png,8.1884069442749,2.92985010147095,0.30,,,,,
00054092.png,00054093.png,8.31189250946045,3.01952743530273,0.09,,,,,
00054093.png,00054094.png,8.18007183074951,4.05428743362427,1.03,,,,,
00054094.png,00054095.png,13.3169422149658,5.43486547470093,1.38,,,,,
00054095.png,00054096.png,8.60618209838867,4.04710721969605,1.39,,,,,
00054096.png,00054097.png,8.28243637084961,3.59627270698547,0.45,,,,,
00054097.png,00054098.png,13.2834005355835,5.21785688400269,1.62,,,,,
00054098.png,00054099.png,8.91007328033447,3.93149399757385,1.29,,,,,
00054099.png,00054100.png,9.36674308776856,4.46116447448731,0.53,,,,,
00054100.png,00054101.png,15.2334852218628,6.90399265289307,2.44,,,,,
00054101.png,00054102.png,10.1369247436523,4.80638027191162,2.10,,,,,
00054102.png,00054103.png,9.98379039764404,3.37991571426392,1.43,,,,,
00054103.png,00054104.png,10.0842552185059,3.17711186408997,0.20,,,,,
00054104.png,00054105.png,10.2850103378296,3.42882180213928,0.25,,,,,
00054105.png,00054106.png,9.85555744171143,2.65506410598755,0.77,,,,,
00054106.png,00054107.png,9.47949028015137,4.72608947753906,2.07,,,,,
00054107.png,00054108.png,13.4355401992798,5.47461080551148,0.75,,,,,
00054108.png,00054109.png,9.15717792510986,3.75127983093262,1.72,,,,,
00054109.png,00054110.png,9.25566291809082,3.27913093566895,0.47,,,,,
00054110.png,00054111.png,9.46133613586426,2.69081258773804,0.59,,,,,
00054111.png,00054112.png,9.20660877227783,3.10003995895386,0.41,,,,,
00054112.png,00054113.png,8.28401851654053,2.36061096191406,0.74,,,,,
00054113.png,00054114.png,12.2783985137939,2.88709783554077,0.53,,,,,
00054114.png,00054115.png,7.77695989608765,2.03460216522217,0.85,,,,,
00054115.png,00054116.png,8.29296970367432,1.91969621181488,0.11,,,,,
00054116.png,00054117.png,7.56864023208618,2.36509442329407,0.45,,,,,
00054117.png,00054118.png,12.0633955001831,2.70304250717163,0.34,,,,,
00054118.png,00054119.png,7.71400880813599,1.97625720500946,0.73,,,,,
00054119.png,00054120.png,7.61528635025024,1.83309316635132,0.14,,,,,
00054120.png,00054121.png,11.7118005752563,2.58205246925354,0.75,,,,,
00054121.png,00054122.png,9.0442419052124,19.5253505706787,16.94,,,,,
00054122.png,00054123.png,5.61608362197876,13.0940818786621,6.43,,,,,
00054123.png,00054124.png,5.95620679855347,10.3180284500122,2.78,,,,,
00054124.png,00054125.png,5.61154842376709,9.30122089385986,1.02,,,,,
00054125.png,00054126.png,5.62215995788574,12.4804191589355,3.18,,,,,
00054126.png,00054127.png,9.84271621704102,12.4625043869019,0.02,,,,,
00054127.png,00054128.png,6.52382898330689,11.439172744751,1.02,,,,,
00054128.png,00054129.png,8.00179481506348,16.1898345947266,4.75,,,,,
00054129.png,00054130.png,14.2613210678101,16.0037631988525,0.19,,,,,
00054130.png,00054131.png,8.8306941986084,14.5855016708374,1.42,,,,,
00054131.png,00054132.png,8.91249084472656,13.5054740905762,1.08,,,,,
00054132.png,00054133.png,14.6079416275024,12.5726118087769,0.93,,,,,
00054133.png,00054134.png,7.9447808265686,10.1910591125488,2.38,,,,,
00054134.png,00054135.png,7.94067907333374,16.6706600189209,6.48,,,,,
00054135.png,00054136.png,7.82385778427124,14.2668561935425,2.40,,,,,
00054136.png,00054137.png,10.0957765579224,21.0608100891113,6.79,,,,,
00054137.png,00054138.png,12.3411073684692,35.4668655395508,14.41,,,,,
00054138.png,00054139.png,22.9435291290283,36.1822128295898,0.72,,,,,
00054139.png,00054140.png,16.0566883087158,20.3498306274414,15.83,,,,,
00054140.png,00054141.png,14.4932909011841,23.1775398254395,2.83,,,,,
00054141.png,00054142.png,17.2507343292236,17.6948375701904,5.48,,,,,
00054142.png,00054143.png,8.41210174560547,12.6778774261475,5.02,,,,,
00054143.png,00054144.png,6.81382703781128,10.5531387329102,2.12,,,,,
00054144.png,00054145.png,7.27194499969482,13.0295648574829,2.48,,,,,
00054145.png,00054146.png,10.4333753585815,12.0734920501709,0.96,,,,,
00054146.png,00054147.png,19.8498573303223,12.4268531799316,0.35,,,,,
00054147.png,00054148.png,11.9121952056885,12.5487308502197,0.12,,,,,
00054148.png,00054149.png,12.4338865280151,6.09406709671021,6.45,,,,,
00054149.png,00054150.png,11.6016492843628,2.05518460273743,4.04,,,,,
00054150.png,00054151.png,11.0253162384033,1.85476076602936,0.20,,,,,
00054151.png,00054152.png,10.4244184494019,1.62751054763794,0.23,,,,,
00054152.png,00054153.png,10.2056350708008,1.40376353263855,0.22,,,,,
00054153.png,00054154.png,14.7959661483765,2.22630405426025,0.82,,,,,
00054154.png,00054155.png,9.2031135559082,1.64287853240967,0.58,,,,,
00054155.png,00054156.png,9.39125728607178,1.6456264257431,0.00,,,,,
