loss,iou_metric,val_loss,val_iou_metric
1.3337910175323486,0.42820823192596436,0.7401988506317139,0.47649216651916504
0.6484854221343994,0.4871624708175659,0.5555657744407654,0.5034234523773193
0.5167199969291687,0.5174587965011597,0.45771849155426025,0.5390335321426392
0.42950332164764404,0.5561635494232178,0.394782155752182,0.5691671371459961
0.37463513016700745,0.5768235325813293,0.35586416721343994,0.5829699039459229
0.33791112899780273,0.590567946434021,0.32671627402305603,0.5947129726409912
0.31004270911216736,0.6017438769340515,0.30093950033187866,0.6037894487380981
0.2888632118701935,0.6114087104797363,0.2825361490249634,0.6119563579559326
0.272009938955307,0.6196893453598022,0.26853302121162415,0.61846524477005
0.25747862458229065,0.6291413307189941,0.2575964033603668,0.624394416809082
0.2466806024312973,0.638961136341095,0.247544527053833,0.6350501775741577
0.2389112114906311,0.6463123559951782,0.2380778044462204,0.6423986554145813
0.22948136925697327,0.6535906195640564,0.22934608161449432,0.6482591032981873
0.22090250253677368,0.6594076156616211,0.2237597107887268,0.6530464887619019
0.21353106200695038,0.664479672908783,0.22010616958141327,0.6547069549560547
0.20812420547008514,0.6685704588890076,0.21675680577754974,0.6577228903770447
0.20361648499965668,0.6719859838485718,0.2168932557106018,0.657123863697052
0.19741210341453552,0.6762339472770691,0.2149180769920349,0.660146951675415
0.19225098192691803,0.6799160838127136,0.20859025418758392,0.6651026010513306
0.18957392871379852,0.6820108294487,0.20377783477306366,0.6687650680541992
0.18637192249298096,0.6846216320991516,0.2020774781703949,0.6718427538871765
0.18190602958202362,0.6878618001937866,0.19504405558109283,0.6777489185333252
0.17874489724636078,0.6900991201400757,0.19213859736919403,0.6805603504180908
0.1752660721540451,0.6925721168518066,0.18989412486553192,0.6823221445083618
0.1715346723794937,0.6955257058143616,0.18831795454025269,0.6838884353637695
